order_date,category,region,revenue,units_sold,marketing_spend,customer_rating
2024-01-01,Apparel,South,207.62,5,16.71,3.9
2024-01-02,Sports,South,174.44,5,26.68,4.7
2024-01-03,Beauty,East,219.64,8,38.41,3.7
2024-01-04,Electronics,North,224.84,8,35.0,3.8
2024-01-05,Home & Kitchen,East,152.99,5,19.45,
2024-01-06,Home & Kitchen,East,169.65,9,21.82,3.9
2024-01-07,Electronics,East,205.84,10,25.44,4.9
2024-01-08,Sports,South,195.18,5,21.95,4.6
2024-01-09,Home & Kitchen,North,203.11,7,26.84,5.0
2024-01-10,Apparel,West,182.64,8,22.49,5.0
2024-01-11,Electronics,South,226.39,7,31.65,3.6
2024-01-12,Electronics,West,224.29,5,38.09,4.2
2024-01-13,Beauty,North,206.94,9,37.15,3.5
2024-01-14,Electronics,North,233.91,5,20.55,3.7
2024-01-15,Electronics,West,217.86,5,25.81,3.8
2024-01-16,Home & Kitchen,West,185.13,5,18.16,3.6
2024-01-17,Apparel,West,216.27,6,24.92,3.6
2024-01-18,Apparel,West,183.52,11,19.96,4.1
2024-01-19,Apparel,North,229.9,5,22.4,3.5
2024-01-20,Electronics,West,207.13,7,32.4,4.7
2024-01-21,Electronics,East,204.2,4,26.47,3.6
2024-01-22,Sports,North,192.24,5,33.05,5.0
2024-01-23,Apparel,North,240.26,15,20.0,3.9
2024-01-24,Apparel,West,206.28,12,17.88,4.2
2024-01-25,Books,South,199.87,5,24.05,3.4
2024-01-26,Sports,West,202.22,6,17.8,5.0
2024-01-27,Electronics,North,224.77,14,,4.9
2024-01-28,Home & Kitchen,South,221.04,5,39.48,4.4
2024-01-29,Apparel,South,222.66,5,,3.4
2024-01-30,Home & Kitchen,South,223.56,7,22.31,4.3
2024-01-31,Sports,East,266.77,9,36.64,
2024-02-01,Apparel,West,203.51,13,26.42,5.0
2024-02-02,Sports,West,201.3,5,27.79,4.7
2024-02-03,Sports,East,194.2,7,22.85,4.3
2024-02-04,Apparel,North,230.39,5,37.48,2.7
2024-02-05,Beauty,West,243.66,9,22.87,3.6
2024-02-06,Apparel,East,213.02,6,26.17,4.6
2024-02-07,Sports,East,195.31,8,29.1,4.9
2024-02-08,Home & Kitchen,East,196.14,9,32.72,4.9
2024-02-09,Apparel,West,233.46,6,27.3,3.2
2024-02-10,Apparel,West,236.22,7,32.31,4.4
2024-02-11,Electronics,East,231.66,7,20.13,4.8
2024-02-12,Home & Kitchen,East,201.88,4,19.59,3.2
2024-02-13,Beauty,East,224.76,5,19.53,4.2
2024-02-14,Apparel,South,222.32,5,33.97,4.4
2024-02-15,Electronics,South,225.31,10,24.51,4.0
2024-02-16,Home & Kitchen,East,242.07,7,36.88,3.1
2024-02-17,Electronics,North,226.31,5,19.61,4.0
2024-02-18,Electronics,South,238.14,9,39.59,4.0
2024-02-19,Beauty,East,223.29,12,36.52,4.1
