employee_id,age,department,years_experience,annual_salary,satisfaction_score,work_mode
1001,46,Support,15.1,80096.59,7.0,Onsite
1002,40,Sales,7.1,50779.28,5.3,Onsite
1003,32,Marketing,6.7,57827.91,4.4,Remote
1004,41,Support,14.7,78025.32,7.2,Hybrid
1005,36,Finance,11.1,60812.3,7.7,Remote
1006,45,Engineering,11.2,71193.05,7.8,Onsite
1007,23,HR,0.6,45616.37,7.9,Remote
1008,29,Engineering,4.5,51607.34,4.1,Hybrid
1009,51,Sales,16.9,88027.94,5.0,Onsite
1010,36,Sales,9.7,62501.49,10.0,Remote
1011,38,HR,6.8,47393.98,5.4,Hybrid
1012,42,Sales,17.8,77463.52,7.9,Hybrid
1013,38,Sales,5.7,51980.33,6.0,Hybrid
1014,50,Sales,22.3,150108.36,7.1,Remote
1015,31,Marketing,5.9,47861.69,6.1,Remote
1016,50,HR,12.5,69749.01,7.8,Hybrid
1017,29,Marketing,5.2,52022.34,7.2,Hybrid
1018,36,Sales,4.9,111447.37,6.3,Hybrid
1019,44,HR,16.8,80244.49,5.4,Remote
1020,55,HR,21.6,101519.48,7.4,Hybrid
1021,30,Engineering,2.9,38818.85,5.2,Hybrid
1022,44,Support,7.6,59759.04,7.6,Remote
1023,24,Support,1.5,37261.08,10.0,Onsite
1024,24,HR,1.0,39983.18,9.0,Hybrid
1025,51,HR,24.2,107149.31,8.1,Hybrid
1026,49,Finance,20.4,95085.13,6.9,Onsite
1027,36,Marketing,10.1,66916.64,4.1,Hybrid
1028,45,Marketing,10.7,60353.63,5.0,Hybrid
1029,36,Marketing,10.2,68014.64,8.9,Remote
1030,32,Engineering,8.7,55949.23,5.8,Remote
1031,38,Support,5.7,51998.17,6.0,Remote
1032,33,Sales,5.5,51432.98,6.8,Onsite
1033,52,Sales,13.2,73900.49,5.4,Onsite
1034,37,Support,8.0,58747.83,5.2,Remote
1035,34,HR,8.9,56544.76,6.9,Remote
1036,42,HR,11.7,62360.53,,Hybrid
1037,50,Sales,18.0,88889.39,5.9,Hybrid
1038,32,Sales,4.9,49463.34,5.8,Hybrid
1039,57,Finance,13.5,77397.51,7.8,Hybrid
1040,39,Marketing,7.8,56661.07,6.7,Onsite
1041,47,Engineering,20.4,86499.34,6.7,Remote
1042,58,Support,23.8,105504.52,7.9,Hybrid
1043,38,Marketing,8.4,57038.52,6.8,Hybrid
1044,29,Finance,5.4,51488.01,6.6,Hybrid
1045,50,Marketing,9.5,59010.16,7.7,Onsite
1046,22,HR,0.0,41577.21,8.0,Remote
1047,39,Finance,7.4,52213.74,6.8,Onsite
1048,59,Support,33.0,126050.28,7.1,Onsite
1049,37,Sales,10.9,65949.79,5.8,Onsite
1050,47,Finance,16.8,77671.27,5.7,Hybrid
1051,41,Support,5.8,52562.08,8.2,Hybrid
1052,30,HR,3.3,50687.64,7.7,Onsite
1053,34,Engineering,8.2,55998.15,7.7,Onsite
1054,41,Sales,10.0,64580.57,7.4,Hybrid
1055,25,Sales,2.6,31282.26,7.1,Onsite
1056,37,Engineering,11.4,66764.28,8.0,Remote
1057,37,Finance,8.5,57547.83,8.4,Hybrid
1058,53,Support,23.2,96686.01,8.4,Onsite
1059,26,HR,3.5,49125.8,6.8,Hybrid
1060,54,HR,18.5,85495.03,9.1,Hybrid
1061,37,Finance,10.3,63130.09,7.3,Onsite
1062,46,Marketing,20.4,90611.23,7.9,Onsite
1063,43,Marketing,9.4,53652.74,7.4,Onsite
1064,33,HR,9.2,56232.05,7.4,Hybrid
1065,57,Sales,12.5,73844.37,5.9,Onsite
1066,30,Engineering,5.5,41960.2,8.1,Remote
1067,23,HR,0.8,34174.74,10.0,Hybrid
1068,50,Finance,18.7,85761.12,6.4,Hybrid
1069,45,Engineering,13.7,80334.49,7.1,Onsite
1070,55,Sales,22.1,99954.42,6.3,Onsite
1071,39,Sales,6.6,51251.32,,Onsite
1072,22,Finance,0.0,40218.05,9.3,Hybrid
1073,22,HR,0.0,32037.94,6.0,Hybrid
1074,38,HR,10.5,68436.4,6.3,Hybrid
1075,31,HR,5.1,43844.49,4.6,Hybrid
1076,57,Sales,15.6,82973.03,5.9,Remote
1077,26,Finance,3.3,42615.47,4.4,Hybrid
1078,55,Engineering,17.3,132475.47,7.9,Onsite
1079,30,Engineering,4.5,46731.43,10.0,Onsite
1080,26,Finance,2.2,42269.38,6.4,Onsite
1081,32,HR,4.1,44501.01,4.5,Hybrid
1082,27,Sales,3.7,47575.81,8.3,Hybrid
1083,37,Marketing,8.5,56468.02,5.9,Remote
1084,34,Engineering,3.7,47841.49,8.9,Hybrid
1085,42,Finance,17.6,86048.89,6.6,Hybrid
1086,42,Finance,15.8,78996.31,6.1,Remote
1087,22,Sales,0.0,33234.47,6.7,Remote
1088,26,Marketing,3.3,44846.16,8.1,Hybrid
1089,28,Sales,5.1,51481.01,6.7,Hybrid
1090,29,Marketing,3.5,53047.2,6.3,Hybrid
1091,25,Sales,2.0,44357.68,6.7,Remote
1092,33,Sales,7.3,59343.96,5.1,Hybrid
1093,42,Marketing,9.2,73114.05,7.6,Hybrid
1094,33,Support,4.8,50503.83,4.3,Hybrid
1095,34,Finance,4.4,49258.57,6.3,Hybrid
1096,39,Sales,11.8,70856.06,8.1,Remote
1097,42,Support,15.4,74084.14,7.5,Onsite
1098,34,Sales,9.1,58704.39,7.9,Remote
1099,30,Support,3.9,43895.32,6.9,Hybrid
1100,37,Sales,6.3,55230.46,8.8,Remote
1101,22,HR,0.0,34303.3,8.4,Hybrid
1102,40,Sales,11.3,67192.89,7.7,Remote
1103,57,Finance,29.8,122789.82,8.4,Onsite
1104,37,Sales,12.4,73172.6,8.1,Hybrid
1105,26,Support,3.4,43873.12,6.3,Hybrid
1106,48,Engineering,21.1,91400.02,5.0,Remote
1107,26,HR,3.5,49341.1,7.6,Remote
1108,29,Engineering,4.1,49575.56,7.8,Hybrid
1109,27,Support,1.6,33054.97,8.6,Hybrid
1110,55,Marketing,11.6,66227.38,5.6,Hybrid
1111,59,Finance,19.8,91102.06,5.6,Onsite
1112,43,Support,9.5,64715.32,7.7,Onsite
1113,45,HR,9.2,64400.41,6.9,Onsite
1114,46,Engineering,20.9,94655.62,4.2,Remote
1115,45,Sales,9.6,64220.99,7.6,Onsite
1116,42,Sales,17.5,84256.55,4.2,Hybrid
1117,59,Support,28.0,110704.59,5.6,Hybrid
1118,49,Support,18.5,85754.94,9.0,Onsite
1119,25,Marketing,2.1,40955.96,9.7,Hybrid
1120,36,Support,7.0,54461.28,5.2,Onsite
1121,59,Sales,25.5,98857.71,6.5,Onsite
1122,37,Finance,6.2,50770.07,7.1,Remote
1123,29,Marketing,6.0,52024.82,9.7,Hybrid
1124,55,Sales,15.9,78394.52,6.3,Hybrid
1125,45,Sales,10.4,63132.7,6.3,Onsite
1126,43,Marketing,15.3,79791.97,9.3,Onsite
1127,37,Marketing,10.4,59804.17,6.4,Remote
1128,26,Sales,2.3,34927.83,8.1,Remote
1129,36,Marketing,9.5,60207.32,4.8,Remote
1130,38,Engineering,6.3,55696.46,6.7,Hybrid
1131,57,Support,24.6,110630.21,4.5,Remote
1132,33,Marketing,5.1,52408.51,5.4,Onsite
1133,27,Engineering,2.3,35566.94,8.3,Hybrid
1134,38,HR,6.4,51990.53,6.9,Onsite
1135,59,Support,18.5,87826.54,6.5,Remote
1136,40,Marketing,9.0,60910.36,5.9,Hybrid
1137,36,Support,8.0,59557.22,6.7,Remote
1138,47,HR,10.4,60451.8,7.5,Onsite
1139,46,Finance,10.0,63259.77,8.5,Remote
1140,33,Sales,6.9,56001.29,3.1,Remote
1141,58,Engineering,13.6,76382.68,5.8,Remote
1142,44,Marketing,15.7,75737.13,7.2,Onsite
1143,24,Support,1.7,82280.12,6.9,Remote
1144,37,Finance,8.3,47424.73,7.6,Hybrid
1145,57,Finance,29.4,114834.15,7.4,Onsite
1146,36,Support,5.0,46902.34,6.5,Onsite
1147,43,Marketing,6.8,49961.66,6.2,Remote
1148,45,Sales,16.9,82982.45,6.6,Remote
1149,48,Support,19.7,89936.22,8.7,Hybrid
1150,55,HR,26.6,100443.14,5.9,Remote
1151,27,Sales,1.7,40622.03,6.9,Hybrid
1152,41,Sales,14.6,72166.7,7.3,Hybrid
1153,42,Support,10.5,66342.76,9.3,Hybrid
1154,27,Engineering,2.4,36592.6,6.5,Remote
1155,47,Engineering,10.1,63400.03,8.4,Hybrid
1156,26,Finance,3.6,43947.35,8.8,Remote
1157,39,Engineering,5.7,52172.41,6.9,Hybrid
1158,34,Sales,9.6,62378.79,6.7,Remote
1159,27,Support,3.4,43499.34,,Onsite
1160,53,Marketing,23.0,93254.91,6.6,Hybrid
1161,31,Finance,6.5,47291.17,8.3,Remote
1162,31,Marketing,7.3,53104.45,7.3,Remote
1163,54,Engineering,13.1,71646.88,7.4,Hybrid
1164,55,Sales,9.9,60287.01,5.3,Remote
1165,23,Finance,0.7,39460.85,5.5,Remote
1166,32,Engineering,5.1,48163.12,10.0,Onsite
1167,48,HR,9.7,58299.95,6.7,Hybrid
1168,51,Marketing,11.9,67207.61,5.8,Remote
1169,59,Marketing,18.5,87703.44,9.1,Hybrid
1170,43,Support,7.2,56459.54,7.4,Remote
1171,22,HR,0.0,42513.52,7.9,Onsite
1172,55,HR,28.0,110724.36,6.8,Remote
1173,28,Marketing,2.9,42826.09,6.5,Onsite
1174,26,Marketing,3.6,46784.5,6.7,Onsite
1175,47,Finance,22.0,96506.31,4.9,Remote
1176,44,Engineering,8.5,56797.53,6.9,Remote
1177,24,Sales,1.5,33002.97,7.4,Hybrid
1178,28,HR,4.0,44156.66,9.8,Onsite
1179,44,HR,15.7,74665.19,,Hybrid
1180,31,Engineering,3.2,37053.57,3.5,Hybrid
1181,47,Finance,10.3,60657.28,6.9,Onsite
1182,37,HR,5.2,45371.63,10.0,Onsite
1183,44,Sales,14.6,78215.15,8.3,Hybrid
1184,40,Finance,16.1,82484.37,5.8,Hybrid
1185,35,Support,9.1,56864.48,7.9,Onsite
1186,35,Marketing,9.4,60279.09,5.9,Remote
1187,48,Sales,23.2,92527.03,5.0,Onsite
1188,41,Sales,13.4,70542.64,6.5,Remote
1189,44,HR,7.1,56475.93,7.1,Remote
1190,43,Engineering,17.2,86459.75,4.2,Onsite
1191,29,Marketing,3.6,42227.81,5.3,Hybrid
1192,56,Engineering,10.3,68047.42,7.0,Remote
1193,43,Engineering,12.7,64497.23,6.4,Remote
1194,49,Marketing,23.3,95249.49,,Hybrid
1195,55,Finance,15.0,79838.65,5.2,Onsite
1196,57,Support,20.8,99924.48,8.1,Remote
1197,47,Engineering,10.1,65253.73,5.2,Remote
1198,51,Sales,9.7,61998.63,9.5,Hybrid
1199,39,Marketing,5.9,42739.27,4.4,Onsite
1200,50,HR,20.6,84590.21,5.4,Remote
1201,34,Support,9.8,62957.64,7.6,Onsite
1202,49,Finance,10.4,62687.75,9.5,Onsite
1203,25,HR,1.4,34496.66,7.5,Remote
1204,56,Engineering,14.2,75022.13,7.8,Onsite
1205,31,Engineering,2.8,43300.53,7.0,Hybrid
1206,46,Engineering,15.2,81337.66,,Hybrid
1207,22,HR,0.0,35546.41,6.3,Hybrid
1208,27,Sales,3.4,49433.58,5.2,Onsite
1209,59,Sales,19.7,90191.98,5.1,Onsite
1210,53,Finance,19.6,89418.66,7.6,Onsite
1211,30,Finance,2.9,47377.25,5.3,Onsite
1212,26,Marketing,1.6,35566.24,7.5,Hybrid
1213,52,Support,25.8,118497.79,5.0,Onsite
1214,59,Finance,28.0,114901.03,7.4,Onsite
1215,28,Finance,5.1,50803.32,6.3,Remote
1216,47,Support,21.3,96740.38,9.1,Remote
1217,32,Sales,6.9,61828.55,7.5,Hybrid
1218,50,Finance,24.0,105370.03,8.9,Onsite
1219,37,Support,8.3,51819.78,5.9,Remote
1220,26,Support,1.2,43973.88,,Onsite
1221,34,HR,4.1,45116.41,5.5,Remote
1222,42,Finance,7.3,55868.62,,Hybrid
1223,52,Support,10.7,59842.98,6.6,Hybrid
1224,22,Support,0.0,37104.81,5.9,Remote
1225,58,Support,25.9,104914.5,5.2,Onsite
1226,46,Finance,18.6,87480.68,4.9,Remote
1227,55,Marketing,21.6,94343.6,3.5,Onsite
1228,57,Finance,13.6,80780.05,5.4,Remote
1229,27,Marketing,3.7,53289.04,7.9,Onsite
1230,25,Finance,1.5,39386.05,4.6,Hybrid
1231,51,Finance,8.9,60175.91,4.9,Remote
1232,29,Support,3.3,42746.23,9.7,Remote
1233,27,HR,2.5,46424.03,6.0,Remote
1234,39,Marketing,7.9,55804.32,7.5,Hybrid
1235,56,Engineering,26.8,108354.65,8.0,Onsite
1236,52,HR,22.7,102474.37,8.0,Hybrid
1237,41,HR,13.6,70926.8,4.7,Hybrid
1238,29,HR,2.7,42408.98,6.7,Hybrid
1239,34,Finance,9.4,54994.76,4.6,Hybrid
1240,48,Support,18.4,89336.76,10.0,Hybrid
1241,27,Engineering,2.1,48643.47,4.6,Hybrid
1242,41,Marketing,13.1,74564.9,5.4,Onsite
1243,22,Finance,0.0,40847.2,5.4,Onsite
1244,34,Finance,6.8,50655.59,4.8,Hybrid
1245,31,Finance,3.3,45185.3,9.0,Remote
1246,47,Finance,15.3,74067.36,10.0,Remote
1247,56,Support,12.2,68248.94,6.3,Hybrid
1248,27,Support,2.0,43688.85,5.0,Hybrid
1249,52,HR,11.4,67327.28,3.6,Onsite
1250,46,Sales,20.9,87869.44,6.6,Hybrid
1251,58,HR,17.0,77339.88,6.5,Hybrid
1252,56,Finance,17.4,78195.34,6.0,Onsite
1253,25,Engineering,1.5,41165.81,7.3,Remote
1254,50,Finance,23.5,109055.58,7.6,Onsite
1255,44,HR,14.0,79649.83,7.5,Remote
1256,26,Support,3.4,36936.06,6.5,Hybrid
1257,31,Sales,4.3,52724.3,5.3,Onsite
1258,57,Support,12.9,74865.6,8.0,Onsite
1259,42,Marketing,12.7,64378.8,7.0,Onsite
1260,34,HR,6.1,50867.19,8.3,Hybrid
1261,34,HR,9.4,65702.09,8.2,Onsite
1262,53,HR,25.7,109161.73,4.9,Hybrid
1263,32,Support,5.8,46003.62,4.8,Hybrid
1264,28,Sales,5.3,52282.97,,Remote
