date,sessions,bounce_rate_pct,conversion_rate_pct,primary_device
2025-01-01,989,40.39,2.82,Desktop
2025-01-02,927,46.7,2.72,Mobile
2025-01-03,942,48.05,4.42,Desktop
2025-01-04,1034,44.57,2.71,Mobile
2025-01-05,1124,53.69,3.9,Tablet
2025-01-06,1040,40.06,3.18,Mobile
2025-01-07,997,52.89,3.17,Mobile
2025-01-08,1069,49.31,2.53,Mobile
2025-01-09,1012,44.9,3.15,Mobile
2025-01-10,1007,42.48,2.59,Mobile
2025-01-11,976,64.41,3.34,Mobile
2025-01-12,1121,38.46,3.01,Desktop
2025-01-13,888,47.38,2.44,Mobile
2025-01-14,1091,39.0,3.99,Desktop
2025-01-15,1019,59.28,3.54,Tablet
2025-01-16,1026,52.09,2.84,Desktop
2025-01-17,1155,39.57,3.32,Desktop
2025-01-18,1014,49.1,3.13,Mobile
2025-01-19,1020,47.06,2.51,Desktop
2025-01-20,1056,40.87,3.26,Desktop
2025-01-21,2424,51.07,2.7,Mobile
2025-01-22,1044,48.11,2.44,Desktop
2025-01-23,979,46.73,1.9,Desktop
2025-01-24,1025,44.66,2.91,Mobile
2025-01-25,1157,48.45,3.65,Desktop
2025-01-26,1088,46.84,2.64,Desktop
2025-01-27,1114,45.47,5.22,Desktop
2025-01-28,2573,39.87,3.91,Desktop
2025-01-29,1054,58.55,4.24,Desktop
2025-01-30,1198,36.6,3.84,Desktop
2025-01-31,1089,48.42,4.68,Mobile
2025-02-01,1077,42.44,2.57,Mobile
2025-02-02,1173,59.08,1.15,Desktop
2025-02-03,1067,37.77,2.84,Desktop
2025-02-04,1078,39.12,3.65,Mobile
2025-02-05,1118,37.24,3.32,Mobile
2025-02-06,1121,47.59,3.42,Desktop
2025-02-07,1140,34.02,4.26,Mobile
2025-02-08,1253,41.17,3.51,Desktop
2025-02-09,1151,27.78,3.84,Mobile
2025-02-10,991,46.92,2.45,Tablet
2025-02-11,1157,41.0,2.32,Tablet
2025-02-12,1143,33.1,4.49,Desktop
2025-02-13,1147,53.68,3.28,Desktop
2025-02-14,3211,34.54,2.7,Desktop
2025-02-15,1149,51.38,2.7,Desktop
2025-02-16,1151,39.39,2.68,Desktop
2025-02-17,1194,57.81,2.63,Mobile
2025-02-18,1128,51.0,2.17,Desktop
2025-02-19,1107,36.94,2.0,Tablet
2025-02-20,1349,37.66,3.04,Desktop
2025-02-21,1128,49.84,2.73,Desktop
2025-02-22,1180,42.9,4.09,Mobile
2025-02-23,1088,43.65,3.43,Mobile
2025-02-24,1188,55.18,3.41,Desktop
2025-02-25,1128,39.01,2.61,Mobile
2025-02-26,1161,45.73,3.1,Desktop
2025-02-27,1254,52.64,3.49,Desktop
2025-02-28,1223,51.47,3.77,Mobile
2025-03-01,1232,43.72,3.12,Desktop
2025-03-02,1095,42.69,4.06,Mobile
2025-03-03,3934,31.09,3.21,Desktop
2025-03-04,1136,36.55,3.83,Mobile
2025-03-05,1303,47.55,2.81,Mobile
2025-03-06,1276,43.9,1.75,Desktop
2025-03-07,1253,45.6,3.41,Desktop
2025-03-08,1170,53.31,3.78,Desktop
2025-03-09,1234,35.5,3.66,Mobile
2025-03-10,1200,43.11,3.54,Mobile
2025-03-11,1233,46.51,2.92,Mobile
2025-03-12,1220,39.37,2.55,Desktop
2025-03-13,1116,56.45,3.64,Desktop
2025-03-14,1309,52.27,3.54,Mobile
2025-03-15,1240,47.32,2.75,Desktop
2025-03-16,1219,59.35,4.09,Mobile
2025-03-17,1218,33.01,2.49,Desktop
2025-03-18,1276,44.94,2.73,Desktop
2025-03-19,1204,47.93,4.51,Mobile
2025-03-20,1126,37.68,3.89,Mobile
2025-03-21,1289,47.41,2.91,Mobile
2025-03-22,1299,36.15,3.43,Desktop
2025-03-23,1260,50.52,3.32,Tablet
2025-03-24,1206,53.46,1.0,Mobile
2025-03-25,1284,47.18,2.47,Mobile
2025-03-26,1194,30.18,3.16,Mobile
2025-03-27,1223,37.27,2.91,Mobile
2025-03-28,1243,49.52,3.4,Mobile
2025-03-29,1342,45.17,4.1,Desktop
2025-03-30,1273,23.45,2.94,Desktop
2025-03-31,1271,54.94,2.35,Mobile
2025-04-01,1419,46.09,3.46,Desktop
2025-04-02,1326,38.45,2.94,Desktop
2025-04-03,1329,52.96,3.08,Mobile
2025-04-04,1290,39.58,2.97,Desktop
2025-04-05,1279,39.49,4.99,Mobile
2025-04-06,1187,47.87,1.41,Mobile
2025-04-07,1380,59.25,2.89,Desktop
2025-04-08,1352,57.99,3.2,Mobile
2025-04-09,1318,47.88,2.58,Desktop
2025-04-10,1324,48.7,3.92,Mobile
2025-04-11,1379,51.33,3.85,Mobile
